ThreadCount;Time
1;469
2;270
3;175
4;122
5;109
6;90
7;91
8;77
9;70
10;69
11;67
12;64
13;81
14;79
15;78
16;77
17;77
18;77
19;74
20;68
21;66
22;66
23;82
24;65
25;72
26;72
27;72
28;76
29;77
30;70
31;77
32;71
33;76
34;73
35;68
36;64
37;71
38;72
39;67
40;68
41;66
42;66
43;67
44;65
45;68
46;104
47;76
48;72
49;62
50;63
51;58
52;60
53;62
54;59
55;56
56;60
57;67
58;75
59;66
60;65
61;67
62;68
63;62
64;73
65;60
66;58
67;58
68;60
69;65
70;58
71;57
72;59
73;62
74;61
75;61
76;63
77;61
78;61
79;74
80;60
81;58
82;57
83;62
84;63
85;60
86;59
87;57
88;62
89;64
90;61
91;63
92;62
93;62
94;60
95;63
96;76
97;58
98;58
99;60
100;59
101;59
102;59
103;58
104;64
105;62
106;59
107;60
108;65
109;62
110;59
111;62
112;58
113;60
114;57
115;56
116;59
117;60
118;58
119;57
120;59
121;62
122;59
123;60
124;60
125;63
126;61
127;60
128;64
129;60
130;58
131;59
132;58
133;59
134;59
135;57
136;59
137;62
138;61
139;61
140;61
141;62
142;60
143;62
144;62
145;64
146;58
147;73
148;59
149;63
150;58
151;63
152;62
153;60
154;61
155;62
156;60
157;64
158;61
159;61
160;62
161;67
162;59
163;59
164;58
165;70
166;60
167;58
168;58
169;63
170;60
171;62
172;63
173;65
174;62
175;59
176;65
177;66
178;59
179;60
180;61
181;75
182;59
183;60
184;61
185;61
186;61
187;62
188;65
189;64
190;63
191;62
192;65
193;65
194;60
195;59
196;61
197;61
198;61
199;58
200;62
201;63
202;64
203;63
204;68
205;64
206;61
207;61
208;64
209;67
210;62
211;61
212;63
213;62
214;60
215;65
216;62
217;63
218;64
219;65
220;63
221;65
222;64
223;64
224;64
225;68
226;61
227;62
228;65
229;61
230;61
231;67
232;63
233;63
234;63
235;66
236;65
237;65
238;63
239;64
240;65
241;68
242;61
243;61
244;64
245;64
246;64
247;63
248;60
249;65
250;64
